Label,Plasmid,Plas_group,Strain_Rep,Plas_Rep,Plas,Quantity_S,Dilution_S,Quantity_E,Dilution_E,Quantity_P,Dilution_P,Quantity_T,Dilution_T,Start_DC,Start_RC,End_DC,End_RC,Plas_TC,Tran_TC,Data,Dat_rep
S12,pQBR51,6,3,3,1,0.06,6,0.06,7,0.075,7,0.1,0,99,124,12,19,NA,NA,Dec_24,1
S31,pQBR51,6,1,9,2,0.06,6,0.06,7,0.075,7,0.1,0,144,205,26,22,NA,NA,Dec_24,2
S31,pQBR51,6,2,10,2,0.06,6,0.06,7,0.075,7,0.1,0,139,199,16,29,NA,NA,Dec_24,2
S31,pQBR51,6,3,11,2,0.06,6,0.06,7,0.075,7,0.1,0,146,104,10,34,NA,NA,Dec_24,2
S14,pQBR56,6,1,1,1,0.06,6,0.06,7,0.05,6,0.1,0,120,130,17,13,NA,NA,Dec_24,1
S14,pQBR56,6,2,2,1,0.06,6,0.06,7,0.05,6,0.1,0,168,116,20,17,NA,NA,Dec_24,1
S14,pQBR56,6,3,3,1,0.06,6,0.06,7,0.05,6,0.1,0,103,212,20,11,NA,NA,Dec_24,1
S33,pQBR56,6,1,9,2,0.06,6,0.06,7,0.05,6,0.1,0,150,119,18,16,NA,NA,Dec_24,2
S33,pQBR56,6,2,10,2,0.06,6,0.06,7,0.05,6,0.1,0,140,125,31,11,NA,NA,Dec_24,2
S33,pQBR56,6,3,11,2,0.06,6,0.06,7,0.05,6,0.1,0,118,113,23,16,NA,NA,Dec_24,2
S137,pQBR57_L,6,1,4,4,0.06,6,0.06,7,0.05,6,0.1,2,130,153,24,17,159,136,Dec_24,1
S137,pQBR57_L,6,2,5,4,0.06,6,0.06,7,0.05,6,0.1,2,251,159,24,15,133,27,Dec_24,1
S137,pQBR57_L,6,3,6,4,0.06,6,0.06,7,0.05,6,0.1,2,157,123,21,18,133,104,Dec_24,1
S138,pQBR57_L,6,1,11,5,0.06,6,0.06,7,0.05,6,0.1,2,120,121,8,33,293,13,Dec_24,2
S138,pQBR57_L,6,2,12,5,0.06,6,0.06,7,0.05,6,0.1,2,151,142,11,30,360,13,Dec_24,2
S138,pQBR57_L,6,3,13,5,0.06,6,0.06,7,0.05,6,0.1,2,105,131,30,71,NA,NA,Dec_24,2
CompCon,Con,Con,1,1,,0.06,6,0.04,6,,,,,93,84,97,89,NA,NA,Jan_25,
CompCon,Con,Con,2,2,,0.06,6,0.04,6,,,,,139,99,91,67,NA,NA,Jan_25,
CompCon,Con,Con,3,3,,0.06,6,0.04,6,,,,,76,105,100,106,NA,NA,Jan_25,
CompCon,Con,Con,4,4,,0.06,6,0.04,6,,,,,107,83,101,69,NA,NA,Jan_25,
22N,pP19E3_L,5,4,4,1,0.06,6,0.04,6,0.05,6,0.2,0,172,84,103,95,3,724,Jan_25,3
22N,pP19E3_L,5,5,5,1,0.06,6,0.04,6,0.05,6,0.2,0,87,60,97,49,14,,Jan_25,3
22N,pP19E3_L,5,6,6,1,0.06,6,0.04,6,0.05,6,0.2,0,131,57,114,103,61,,Jan_25,3
22N,pP19E3_L,5,7,7,1,0.06,6,0.04,6,0.05,6,0.2,0,165,67,86,58,9,2328,Jan_25,3
S16,pQBR102,6,4,4,1,0.06,6,0.04,6,0.1,6,0.1,2,55,51,120,59,155,445,Jan_25,3
S16,pQBR102,6,5,5,1,0.06,6,0.04,6,0.1,6,0.1,2,67,48,107,99,158,343,Jan_25,3
S16,pQBR102,6,6,6,1,0.06,6,0.04,6,0.1,6,0.1,2,93,42,83,47,54,109,Jan_25,3
S16,pQBR102,6,7,7,1,0.06,6,0.04,6,0.1,6,0.1,2,68,46,149,76,213,293,Jan_25,3
11,pQBR103_L,3,4,4,1,0.06,6,0.06,6,0.05,2,0.2,0,25,55,6,144,2,0,Jan_25,3
11,pQBR103_L,3,5,5,1,0.06,6,0.06,6,0.05,2,0.2,0,23,59,7,121,26,0,Jan_25,3
11,pQBR103_L,3,6,6,1,0.06,6,0.06,6,0.05,2,0.2,0,30,57,8,111,11,0,Jan_25,3
11,pQBR103_L,3,7,7,1,0.06,6,0.04,6,0.05,2,0.2,0,23,108,7,121,18,1,Jan_25,3
S20,pQBR132,2,4,4,1,0.06,6,0.06,6,0.075,6,0.2,0,40,50,57,39,65,5,Jan_25,3
S20,pQBR132,2,5,5,1,0.06,6,0.06,6,0.075,6,0.2,0,57,52,66,31,34,2,Jan_25,3
S20,pQBR132,2,6,6,1,0.06,6,0.06,6,0.075,6,0.2,0,31,52,42,84,127,3,Jan_25,3
S20,pQBR132,2,7,7,1,0.06,6,0.06,6,0.075,6,0.2,0,52,49,72,50,30,1,Jan_25,3
S21,pQBR150,6,4,4,1,0.06,6,0.04,6,0.075,6,0.2,0,46,71,66,68,163,,Jan_25,3
S21,pQBR150,6,5,5,1,0.06,6,0.04,6,0.075,6,0.2,0,61,70,99,111,78,,Jan_25,3
S21,pQBR150,6,6,6,1,0.06,6,0.04,6,0.075,6,0.2,0,73,70,55,72,59,,Jan_25,3
S21,pQBR150,6,7,7,1,0.06,6,0.04,6,0.075,6,0.2,0,96,51,79,110,36,,Jan_25,3
S6,pQBR26,1,4,9,3,0.06,6,0.06,6,0.05,4,0.2,0,64,59,133,154,133,4,Jan_25,3
S6,pQBR26,1,5,10,3,0.06,6,0.06,6,0.05,4,0.2,0,82,79,70,236,95,3,Jan_25,3
S6,pQBR26,1,6,11,3,0.06,6,0.06,6,0.05,4,0.2,0,63,62,137,186,154,3,Jan_25,3
